2025-01-01 11:07:31,372 - 86/100
2025-01-01 11:07:31,382 - 87/100
2025-01-01 11:07:31,392 - 88/100
2025-01-01 11:07:31,403 - 89/100
2025-01-01 11:07:31,413 - 90/100
2025-01-01 11:07:31,423 - 91/100
2025-01-01 11:07:31,434 - 92/100
2025-01-01 11:07:31,456 - 93/100
2025-01-01 11:07:31,494 - 94/100
2025-01-01 11:07:31,531 - 95/100
2025-01-01 11:07:31,566 - 96/100
2025-01-01 11:07:31,604 - 97/100
2025-01-01 11:07:31,620 - 98/100
2025-01-01 11:07:31,635 - 99/100
2025-01-01 11:07:31,651 - 100/100
2025-01-01 11:07:31,661 - prec:0.6044459104414005  recall:0.6456338885745819  F1: 0.5540562137346297 
2025-01-01 11:07:31,661 - Epoch: 2 / 10
2025-01-01 11:15:09,972 - 0.836661696434021
2025-01-01 11:15:10,115 - 1/100
2025-01-01 11:15:10,127 - 2/100
2025-01-01 11:15:10,136 - 3/100
2025-01-01 11:15:10,146 - 4/100
2025-01-01 11:15:10,155 - 5/100
2025-01-01 11:15:10,165 - 6/100
2025-01-01 11:15:10,175 - 7/100
2025-01-01 11:15:10,186 - 8/100
2025-01-01 11:15:10,195 - 9/100
2025-01-01 11:15:10,204 - 10/100
2025-01-01 11:15:10,214 - 11/100
2025-01-01 11:15:10,223 - 12/100
2025-01-01 11:15:10,232 - 13/100
2025-01-01 11:15:10,242 - 14/100
2025-01-01 11:15:10,251 - 15/100
2025-01-01 11:15:10,260 - 16/100
2025-01-01 11:15:10,269 - 17/100
2025-01-01 11:15:10,279 - 18/100
2025-01-01 11:15:10,289 - 19/100
2025-01-01 11:15:10,298 - 20/100
2025-01-01 11:15:10,307 - 21/100
2025-01-01 11:15:10,318 - 22/100
2025-01-01 11:15:10,327 - 23/100
2025-01-01 11:15:10,341 - 24/100
2025-01-01 11:15:10,355 - 25/100
2025-01-01 11:15:10,368 - 26/100
2025-01-01 11:15:10,377 - 27/100
2025-01-01 11:15:10,388 - 28/100
2025-01-01 11:15:10,397 - 29/100
2025-01-01 11:15:10,405 - 30/100
2025-01-01 11:15:10,422 - 31/100
2025-01-01 11:15:10,432 - 32/100
2025-01-01 11:15:10,444 - 33/100
2025-01-01 11:15:10,452 - 34/100
2025-01-01 11:15:10,468 - 35/100
2025-01-01 11:15:10,478 - 36/100
2025-01-01 11:15:10,505 - 37/100
2025-01-01 11:15:10,537 - 38/100
2025-01-01 11:15:10,572 - 39/100
2025-01-01 11:15:10,599 - 40/100
2025-01-01 11:15:10,608 - 41/100
2025-01-01 11:15:10,653 - 42/100
2025-01-01 11:15:10,680 - 43/100
2025-01-01 11:15:10,690 - 44/100
2025-01-01 11:15:10,711 - 45/100
2025-01-01 11:15:10,730 - 46/100
2025-01-01 11:15:10,741 - 47/100
2025-01-01 11:15:10,765 - 48/100
2025-01-01 11:15:10,786 - 49/100
2025-01-01 11:15:10,811 - 50/100
2025-01-01 11:15:10,825 - 51/100
2025-01-01 11:15:10,844 - 52/100
2025-01-01 11:15:10,873 - 53/100
2025-01-01 11:15:10,916 - 54/100
